FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Nguyễn Đức Hùng,Male,ICT,,ISTJ,"Netflix, Football, Investment, Alcoholic",Text message,Chit Chatting,"Programming, Chemistry, Environment","Online, Café, Bookstore",Overnight
Nguyễn Gia Huy,Male,SST,,ESTJ,"Study, Taekwondo, Cooking, Baseball",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Biology, Physics, Electronic, Environment","Library, Home",Early Morning
Đoàn Văn Khoa,Male,AMS,,INFP,"Makeup, Football, Study",Text message,Chit Chatting,"Linear Algebra, Chemistry","Café, Home",Night
Bùi Lê Phúc Lâm,Male,ICT,,ENFP,"V-pop, Badminton, Rap, Dancing",Video call,Share knowledge,Environment,"Library, Home, Café",Overnight
Quách Ngọc Linh,Male,ICT,,INTP,"Anime, V-pop, Yoga, Jogging",Text message,Share knowledge,Practical laboratory,Bookstore,Early Morning
Nguyễn Cao Đức Minh,Male,EER,,ENTJ,Skiing,In-person (face-to-face),Share knowledge,"Health Care, Calculus, Chemistry, Programming, Artificial Intelligence",Café,Midnight
Lê Bảo Ngân,Female,DS,,ESTJ,Badminton,Phone call,Chit Chatting,Health Care,Library,Overnight
Nguyễn Thị Phương Nhung,Female,AES,,ISFP,"Swimming, Baseball",Text message,Study supporter,"Programming, Environment, Calculus, Electronic, Chemistry","Home, Library",Midnight
Lê Thanh Phượng,Female,MST,,INTJ,"Skiing, Politics, Volleyball, Alcoholic, Skateboarding",In-person (face-to-face),Share knowledge,"Programming, Practical laboratory","Online, Home, Café",Overnight
Nguyễn Anh Quân,Male,SST,,ISTP,"Ballet, DIY, Karate, Jogging, Investment",Video call,Study supporter,Environment,Library,Overnight
Nguyễn Phương Thanh,Female,CH,,ISFP,"Netflix, Study, Bowling",In-person (face-to-face),Share knowledge,"Linear Algebra, Programming",Library,Midday
Hà Thị Tình,Female,ATE,,ENFJ,"Skateboarding, Vlogging, DIY, Baseball",Video call,Chit Chatting,"Artificial Intelligence, Health Care","Bookstore, Online",Overnight
Phan Ngô Quỳnh Trâm,Female,AE,,ENTP,Volleyball,Video call,Share knowledge,Environment,"Café, Bookstore",Night
Vũ Hiếu Trung,Male,BIT,,ISTJ,"Basketball, DIY, singing, Hiphop, Karate",Video call,Share knowledge,"Chemistry, Artificial Intelligence, Health Care, Biology","Bookstore, Café, Library",Midnight
Hà Phan Anh,Male,SIC,,INTP,"Skiing, Coffee, Tea, Art",Phone call,Share knowledge,"Health Care, Calculus, Linear Algebra, Artificial Intelligence","Library, Bookstore",Overnight
Nguyễn Việt Anh,Male,MST,,ESTP,"Volleyball, Board games, Food tour",In-person (face-to-face),Study supporter,"Physics, Electronic","Bookstore, Home, Café",Overnight
Trần Vũ Kiếm Anh,Male,FST,,INTJ,"Ballet, DIY",Phone call,Study supporter,"Chemistry, Practical laboratory, Biology, Health Care","Bookstore, Café, Home",Midday
Nguyễn Đức Chiến,Male,MST,,ENFP,"Swimming, Ballet, Anime",In-person (face-to-face),Study supporter,"Artificial Intelligence, Environment, Calculus",Home,Early Morning
Chu Quốc Đạt,Male,AMS,,ESFP,"Movie, Board games, Alcoholic, Travel, Painting",In-person (face-to-face),Study supporter,Linear Algebra,"Café, Online",Early Morning
Phan Minh Đạt,Male,MAT,,ENTP,Baseball,Phone call,Chit Chatting,"Chemistry, Health Care, Biology, Programming",Library,Midnight
Đào Xuân Hiển,Male,DS,,ISTJ,"Rap, Food tour, Coffee, Tea, Art",Video call,Study supporter,Calculus,"Home, Café",Evening
Lê Hoàng Hiệp,Male,CH,,ISFJ,"Movie, Netflix, Art, Ballet, Karate",In-person (face-to-face),Chit Chatting,Environment,Café,Night
Nguyễn Thị Thu Huệ,Female,AMS,,ISFP,Basketball,Phone call,Share knowledge,"Linear Algebra, Programming, Practical laboratory","Bookstore, Home, Online",Midnight
Nguyễn Thế Kiệt,Male,SIC,,ENTP,Dancing,Phone call,Study supporter,"Health Care, Artificial Intelligence","Café, Library, Bookstore",Midday
Vũ Khoa Lâm,Male,SST,,ISFJ,"Painting, Jogging, Food tour, Politics",In-person (face-to-face),Chit Chatting,"Environment, Physics, Calculus, Programming",Bookstore,Early Morning
Nguyễn Ngọc Khánh Linh,Female,EER,,INFP,"Investment, Study, Table tennis",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Health Care, Physics",Bookstore,Night
Phạm Đức Hải Minh,Male,CS,,INFJ,"Korean food, Badminton, Bowling, Anime, Baseball",Phone call,Study supporter,Chemistry,Home,Evening
Nguyễn Hoàng Phan,Male,AMS,,ISTP,"Travel, Investment",Phone call,Study supporter,"Chemistry, Programming, Calculus, Health Care","Home, Library",Early Morning
Lê Thanh Phong,Male,SST,,INTJ,Table tennis,Video call,Study supporter,"Physics, Programming, Chemistry, Electronic, Linear Algebra","Home, Online",Evening
Trần Phan Sang,Male,DS,,INFP,"Art, Study, Anime",Phone call,Share knowledge,"Calculus, Practical laboratory, Physics, Biology, Linear Algebra",Library,Midday
Nguyễn Minh Tâm,Female,Pharmacy,,INTJ,"K-pop, Baseball, DIY",Text message,Chit Chatting,"Electronic, Practical laboratory, Health Care, Biology","Bookstore, Café, Home",Early Morning
Ngô Đắc Thịnh,Male,CS,,ISFJ,"Badminton, K-pop",Text message,Share knowledge,"Artificial Intelligence, Biology, Calculus, Environment",Café,Night
Nguyễn Lê Phương Trúc,Female,MAT,,INTJ,"Dancing, Ballet",Phone call,Chit Chatting,Physics,Library,Night
Lê Đức Anh,Male,FST,,INFJ,"Ballet, singing, Painting, Food tour, Jogging",Phone call,Share knowledge,"Artificial Intelligence, Environment",Bookstore,Early Morning
Nguyễn Hoàng Minh Châu,Female,ICT,,ESTP,"DIY, Bowling, Netflix, Skateboarding",In-person (face-to-face),Chit Chatting,"Linear Algebra, Artificial Intelligence, Electronic, Practical laboratory","Bookstore, Café",Overnight
Phan Vũ Ngọc Châu,Female,MAT,,ISTJ,"DIY, Bowling, Skateboarding, K-pop, Travel",In-person (face-to-face),Share knowledge,"Electronic, Artificial Intelligence","Home, Bookstore, Café",Night
Lương Minh Dương,Male,BIT,,ENTP,"Investment, Swimming, Board games, Taekwondo, EDM",Text message,Study supporter,"Electronic, Chemistry, Biology, Linear Algebra, Physics",Bookstore,Overnight
Nguyễn Tuấn Đạt,Male,AMS,,INTP,"Badminton, Korean food, Alcoholic, Ballet, Dancing",Text message,Share knowledge,Health Care,Online,Evening
Hồ Xuân Hiếu,Male,EER,,INFJ,Study,Text message,Share knowledge,"Programming, Practical laboratory, Calculus",Home,Evening
Phạm Văn Hùng,Male,SST,,ISTP,"Baseball, Yoga, Skiing, EDM",Phone call,Study supporter,"Artificial Intelligence, Linear Algebra, Chemistry, Physics","Home, Library",Night
Nguyễn Duy Khánh,Male,Pharmacy,,ISFJ,"Korean food, singing",Phone call,Chit Chatting,"Artificial Intelligence, Programming","Bookstore, Home",Early Morning
Lê Tuấn Kiệt,Male,EER,,ESTJ,"Badminton, Travel, Rap",Phone call,Chit Chatting,Environment,Café,Midnight
Nguyễn Phương Lan,Female,ATE,,INFP,Food tour,In-person (face-to-face),Share knowledge,Practical laboratory,"Home, Café, Library",Early Morning
Nguyễn Phương Mai,Female,MAT,,ESFJ,"Yoga, V-pop, DIY",In-person (face-to-face),Study supporter,"Programming, Artificial Intelligence, Calculus, Linear Algebra, Electronic",Home,Overnight
Trần Hiếu Minh,Male,BIT,,ISFP,"Basketball, singing",Video call,Share knowledge,"Environment, Practical laboratory, Calculus, Artificial Intelligence, Biology","Café, Online, Home",Early Morning
Nguyễn Ngọc Minh Quang,Male,DS,,ISTP,K-pop,Text message,Chit Chatting,"Electronic, Linear Algebra, Practical laboratory, Artificial Intelligence","Café, Home, Bookstore",Midnight
Ngô Đức Thành,Male,AES,,ISFP,DIY,Text message,Share knowledge,"Electronic, Biology","Home, Online, Bookstore",Midday
Đỗ Hùng Anh,Male,DS,,ESTP,"Korean food, Gym, Skateboarding, Karate, Ballet",Video call,Share knowledge,"Biology, Electronic, Programming, Chemistry","Café, Library",Night
Đặng Minh Anh,Female,AE,,INTJ,"Badminton, Hiphop, Movie, Politics",Video call,Study supporter,"Environment, Calculus, Biology","Home, Online, Library",Night
Lê Quốc Anh,Male,AMS,,ENTP,V-pop,Text message,Chit Chatting,"Calculus, Artificial Intelligence, Physics",Library,Overnight
Lê Quốc Anh,Male,AE,,ISTJ,Movie,Phone call,Study supporter,"Physics, Environment, Practical laboratory, Biology",Café,Evening
Lương Đức Anh,Male,AMS,,ESTJ,"Rap, Korean food, Movie, Painting",Text message,Share knowledge,"Programming, Artificial Intelligence",Library,Early Morning
Nguyễn Phương Anh,Female,AMS,,ESTJ,"Baseball, Cooking, Skiing",Phone call,Share knowledge,"Calculus, Environment","Café, Bookstore",Midnight
Nguyễn Thái Nhất Anh,Male,FST,,INTP,"Vlogging, Cooking, Taekwondo",Video call,Chit Chatting,"Health Care, Environment, Practical laboratory","Online, Home, Bookstore",Night
Phạm Duy Anh,Male,ICT,,INFJ,"Gym, Skiing, Bowling",In-person (face-to-face),Study supporter,"Biology, Chemistry","Library, Bookstore",Early Morning
Lương Chí Bách,Male,MST,,ENFP,Yoga,In-person (face-to-face),Share knowledge,"Chemistry, Artificial Intelligence","Library, Home, Bookstore",Midnight
Hồ Huyền Châu,Female,CH,,INTP,"Baseball, Yoga, Food tour, Swimming, Rap",Video call,Chit Chatting,Health Care,"Home, Online",Evening
Trần Hạnh Chi,Female,SIC,,INTP,"Movie, Alcoholic",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Linear Algebra","Café, Home",Midday
Phạm Công Duyệt,Male,CH,,ISTP,"V-pop, Yoga, Ballet, Politics, Painting",Text message,Chit Chatting,"Calculus, Linear Algebra, Programming, Health Care, Chemistry","Online, Home",Midnight
Ngô Thành Đạt,Male,BIT,,ESFP,"Coffee, Tea",Phone call,Chit Chatting,"Biology, Electronic, Environment, Calculus","Café, Home",Night
Nguyễn Minh Đạt,Male,CH,,ENFP,"singing, Anime, Politics, Cooking, Ballet",In-person (face-to-face),Chit Chatting,Programming,"Online, Home",Night
Bùi Minh Đức,Male,AMS,,ENTJ,"EDM, V-pop, Jogging, Dancing, Anime",Video call,Share knowledge,"Health Care, Practical laboratory, Electronic","Online, Library",Midday
Bùi Ngọc Đức,Male,SST,,ENFJ,"Badminton, DIY, Skiing, Korean food",Phone call,Share knowledge,"Chemistry, Biology, Artificial Intelligence, Environment","Café, Online, Bookstore",Early Morning
Nguyễn Minh Đức,Male,MAT,,ISFP,"Study, Alcoholic",Phone call,Share knowledge,Chemistry,"Home, Bookstore",Early Morning
Nguyễn Đình Giang,Male,MST,,ESTJ,"Anime, Gym",Video call,Study supporter,"Linear Algebra, Health Care, Programming",Café,Midday
Nguyễn Trường Giang,Male,SIC,,ENFJ,"Board games, Skateboarding, Vlogging, Hiphop, Football",Text message,Share knowledge,"Biology, Programming, Practical laboratory","Library, Café",Midday
Trần Thị Vân Giang,Female,ATE,,ISTP,"Food tour, Skiing, Vlogging",Phone call,Chit Chatting,"Calculus, Biology, Linear Algebra, Health Care, Electronic","Bookstore, Online",Midnight
Hoàng Đức Hải,Male,EER,,INTP,"Rap, EDM",Text message,Study supporter,"Physics, Biology, Calculus, Artificial Intelligence, Programming","Café, Library, Bookstore",Midday
Nguyễn Bá Hiếu,Male,AES,,ENTJ,"Skateboarding, Board games, Bowling, V-pop",In-person (face-to-face),Chit Chatting,"Linear Algebra, Health Care, Practical laboratory",Café,Night
Nguyễn Ngọc Hiếu,Male,Pharmacy,,INTJ,"Coffee, Tea, Korean food, Makeup, Swimming, Politics",Video call,Chit Chatting,"Health Care, Physics, Electronic, Environment","Online, Bookstore",Overnight
Phạm Minh Hiếu,Male,MST,,ESFJ,"singing, Skiing, Jogging, Food tour",Phone call,Chit Chatting,"Physics, Biology, Environment","Bookstore, Home, Library",Evening
Đặng Đình Hòa,Male,DS,,ESFJ,"Badminton, Rap, Netflix",In-person (face-to-face),Study supporter,"Practical laboratory, Health Care, Linear Algebra","Bookstore, Library",Night
Dương Việt Hùng,Male,BIT,,ISTJ,"Rap, Politics, Bowling, V-pop, Netflix",Video call,Chit Chatting,Physics,"Library, Café, Bookstore",Midday
Lê Việt Hùng,Male,Pharmacy,,ISTJ,"K-pop, Alcoholic, Coffee, Tea",In-person (face-to-face),Study supporter,Electronic,"Café, Library",Night
Trần Mạnh Hùng,Male,Pharmacy,,ESFJ,"Football, Gym, Coffee, Tea, EDM",Phone call,Share knowledge,"Chemistry, Artificial Intelligence","Bookstore, Home, Library",Midday
Trần Ngọc Hùng,Male,FST,,ESFJ,Travel,Phone call,Chit Chatting,"Practical laboratory, Environment","Online, Café",Overnight
Nguyễn Gia Huy,Male,SIC,,INTP,Baseball,Video call,Chit Chatting,"Linear Algebra, Artificial Intelligence, Health Care, Programming, Physics","Library, Online, Café",Night
Trần Quang Huy,Male,CH,,ISFP,Politics,Video call,Study supporter,"Chemistry, Physics","Café, Library",Evening
Nguyễn Nhật Hưng,Male,FST,,INTJ,"Gym, Board games, K-pop, Netflix, EDM",Phone call,Chit Chatting,"Programming, Electronic, Practical laboratory, Environment","Café, Online",Evening
Nguyễn Thị Lan Hương,Female,MST,,INFJ,Board games,Phone call,Study supporter,"Electronic, Health Care, Practical laboratory, Environment","Bookstore, Café",Midday
Nguyễn Thế Khải,Male,AMS,,ENFJ,"Bowling, Korean food, Badminton, Art, Gym",Video call,Chit Chatting,"Electronic, Chemistry, Linear Algebra",Bookstore,Midday
Trần Gia Khánh,Male,MAT,,ESTP,"Study, Alcoholic, Politics, Karate, Swimming",In-person (face-to-face),Chit Chatting,"Physics, Programming, Chemistry","Online, Home, Library",Midnight
Nguyễn Hữu Tân Khoa,Male,SST,,ENFJ,"Dancing, Makeup, Netflix, K-pop, Ballet",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Electronic, Practical laboratory, Chemistry","Café, Online, Home",Midday
Phạm Đình Bảo Khôi,Male,AMS,,ISFP,"Dancing, Rap, Badminton, singing, Skateboarding",Text message,Share knowledge,"Programming, Artificial Intelligence",Bookstore,Evening
Nguyễn Minh Khuê,Male,AMS,,ISTJ,"Art, Travel, Bowling, Skateboarding",In-person (face-to-face),Chit Chatting,"Electronic, Biology, Chemistry, Environment","Café, Library",Midday
Ngô Xuân Kiên,Male,CH,,ISTP,"Rap, Skateboarding, Painting, Basketball",In-person (face-to-face),Study supporter,"Environment, Programming","Online, Library, Bookstore",Night
Lê Chí Thanh Lâm,Male,AMS,,INFP,Swimming,Text message,Study supporter,"Linear Algebra, Artificial Intelligence, Biology, Practical laboratory, Calculus","Café, Home, Bookstore",Midday
Nguyễn Hoàng Lân,Male,MAT,,INTP,"Gym, Yoga",Text message,Share knowledge,"Electronic, Programming, Physics, Linear Algebra",Home,Early Morning
Mai Ngọc Linh,Female,FST,,ESTP,"Gym, Dancing, Investment, V-pop",Text message,Share knowledge,Physics,Home,Early Morning
Đỗ Hữu Long,Male,MAT,,INFJ,"Anime, Rap, Netflix, Taekwondo",Video call,Chit Chatting,"Biology, Physics, Calculus, Programming, Electronic",Café,Early Morning
Võ Song Long,Male,CH,,ENTJ,Movie,Text message,Chit Chatting,"Practical laboratory, Physics, Environment","Café, Home",Midnight
Nguyễn Thành Luân,Male,ICT,,ESFP,Makeup,Phone call,Chit Chatting,"Artificial Intelligence, Calculus, Practical laboratory, Programming, Health Care","Library, Online",Overnight
Bùi Quang Minh,Male,AMS,,ISTJ,Movie,Video call,Chit Chatting,"Physics, Programming, Chemistry",Library,Evening
Châu Tuấn Minh,Male,CS,,ESTJ,"Ballet, Makeup",Text message,Study supporter,"Physics, Practical laboratory","Online, Bookstore",Midday
Đào Tuấn Minh,Male,CS,,ISFJ,"Art, Hiphop, Yoga, Skateboarding, Study",Video call,Study supporter,"Biology, Electronic, Programming","Bookstore, Library",Midday
Nguyễn Hiếu Minh,Male,AES,,ENTP,K-pop,Text message,Chit Chatting,Linear Algebra,"Bookstore, Home, Online",Night
Phạm Nhật Minh,Male,AE,,INFP,"Alcoholic, Badminton, K-pop",Phone call,Share knowledge,Health Care,"Online, Home",Midday
Phạm Quang Minh,Male,ICT,,ENTJ,"Table tennis, Politics",Video call,Share knowledge,"Environment, Physics","Home, Library, Bookstore",Midday
Nguyễn Đức Nam,Male,DS,,INTJ,"Yoga, Painting, Alcoholic, Art, Badminton",Video call,Share knowledge,Artificial Intelligence,"Library, Online",Midnight
Nguyễn Gia Nam,Male,ICT,,ISFJ,"K-pop, Basketball",In-person (face-to-face),Study supporter,"Artificial Intelligence, Linear Algebra, Practical laboratory","Home, Bookstore, Library",Midnight
Nguyễn Hoàng Nam,Male,MST,,ENTP,Alcoholic,Phone call,Share knowledge,"Chemistry, Linear Algebra, Physics, Practical laboratory","Home, Café",Night
Phi Hải Nam,Male,AE,,ISFP,Ballet,Text message,Chit Chatting,"Artificial Intelligence, Physics, Health Care, Electronic, Environment","Library, Online, Café",Night
Nguyễn Vũ Hồng Ngọc,Female,MAT,,INFJ,"Investment, Taekwondo, Gym",In-person (face-to-face),Study supporter,"Programming, Physics","Online, Library",Evening
Nguyễn Nguyễn Nhật,Male,AES,,INFJ,"Volleyball, Movie, Skiing, Study",Phone call,Share knowledge,"Electronic, Linear Algebra, Calculus, Programming",Bookstore,Night
Ngô Minh Phước,Male,CS,,ISFP,"Anime, Rap, EDM, Hiphop, Politics",In-person (face-to-face),Share knowledge,"Biology, Linear Algebra, Physics","Home, Café, Online",Midday
Nguyễn Đình Minh Quang,Male,ATE,,ISFJ,Makeup,In-person (face-to-face),Chit Chatting,"Practical laboratory, Health Care, Linear Algebra, Chemistry",Online,Midday
Nguyễn Xuân Quân,Male,AE,,INFJ,"Baseball, Dancing, Travel, Badminton",In-person (face-to-face),Share knowledge,Chemistry,Café,Evening
Vũ Tiến Sĩ,Male,DS,,INTP,"K-pop, Taekwondo, Baseball, Gym, Rap",Text message,Share knowledge,"Environment, Artificial Intelligence",Home,Night
Đinh Minh Sơn,Male,EER,,ESFP,"Netflix, Travel, Yoga, Karate, Alcoholic",Text message,Share knowledge,"Physics, Programming, Health Care","Library, Online",Midday
Ngô Anh Tâm,Male,AES,,ISFP,"Movie, Skiing, Rap, Badminton, Food tour",Video call,Study supporter,Practical laboratory,"Home, Bookstore, Library",Night
Đỗ Minh Tân,Male,AE,,INTP,"Korean food, Table tennis",In-person (face-to-face),Share knowledge,"Electronic, Physics, Biology, Calculus",Library,Evening
Hoàng Gia Thành,Male,CH,,ESTJ,"Korean food, Swimming, Rap, singing, Jogging",Phone call,Study supporter,"Practical laboratory, Programming, Linear Algebra",Library,Early Morning
Nguyễn Đức Thành,Male,AE,,ENFP,"K-pop, Food tour, Netflix, Ballet, Board games",In-person (face-to-face),Study supporter,"Artificial Intelligence, Biology",Library,Early Morning
Bùi Đức Thắng,Male,SIC,,ENFJ,"Skateboarding, V-pop, Politics, Bowling, Cooking",Video call,Share knowledge,"Practical laboratory, Calculus, Artificial Intelligence, Electronic, Programming","Home, Library, Café",Midday
Nguyễn Minh Thư,Female,CS,,ENTJ,"Badminton, Travel, Karate, Study",Text message,Study supporter,"Health Care, Environment, Programming, Physics",Home,Evening
Lê Trọng Tiến,Male,AES,,ENFJ,"Taekwondo, K-pop",Phone call,Study supporter,"Physics, Electronic, Linear Algebra, Programming","Home, Online, Library",Early Morning
Vũ Đức Tiến,Male,AES,,ISTJ,"V-pop, EDM, Skiing, Volleyball",Phone call,Chit Chatting,Programming,"Library, Café",Overnight
Lưu Hữu Tình,Male,CH,,ESTJ,"singing, Rap, Yoga, Taekwondo, Gym",In-person (face-to-face),Share knowledge,Physics,Café,Overnight
Nguyễn Huyền Trang,Female,ATE,,ISFJ,"Hiphop, Makeup, DIY",In-person (face-to-face),Share knowledge,"Biology, Programming, Environment, Calculus",Home,Early Morning
Phan Minh Trang,Female,AE,,INTP,Netflix,Phone call,Share knowledge,"Practical laboratory, Artificial Intelligence, Programming, Environment",Bookstore,Evening
Đào Chí Trung,Male,SIC,,ESTJ,"K-pop, Travel, Board games, Investment",Phone call,Chit Chatting,"Environment, Biology, Physics, Programming, Calculus",Online,Evening
Nguyễn Hồng Trường,Male,EER,,ENFP,"Rap, Board games, Politics, Makeup",In-person (face-to-face),Share knowledge,"Practical laboratory, Electronic, Health Care","Bookstore, Online",Midnight
Hoàng Danh Tú,Male,CH,,ESFP,"Skiing, Alcoholic, Anime",In-person (face-to-face),Share knowledge,Electronic,"Café, Bookstore",Evening
Nguyễn Lâm Tùng,Male,SST,,ENTJ,"Study, Yoga, V-pop",In-person (face-to-face),Share knowledge,"Calculus, Physics","Café, Library, Online",Overnight
Phạm Hồng Vân,Female,DS,,INTJ,"Investment, Karate, Badminton",Video call,Chit Chatting,Practical laboratory,"Home, Café, Library",Midnight
Nguyễn Quốc Việt,Male,ATE,,ISFP,"Skateboarding, Food tour, Makeup",Phone call,Share knowledge,Calculus,Library,Early Morning
Nguyễn Tất Hoàng Việt,Male,DS,,ENFJ,"Art, EDM, Hiphop",Phone call,Chit Chatting,"Environment, Artificial Intelligence, Programming, Physics","Bookstore, Home",Midday
Phạm Quang Vinh,Male,EER,,ISFJ,Movie,In-person (face-to-face),Share knowledge,"Calculus, Environment, Artificial Intelligence","Café, Home",Midnight
Vũ Ngọc Vinh,Male,FST,,ENFP,"Politics, Anime, Alcoholic, Baseball, Food tour",Video call,Chit Chatting,"Artificial Intelligence, Linear Algebra, Programming, Environment","Library, Home, Bookstore",Evening
Nguyễn Đăng Vũ,Male,SST,,ENFP,"Football, V-pop",Video call,Chit Chatting,"Calculus, Health Care",Library,Evening
Đặng Đức Anh,Male,DS,,INTP,"Basketball, DIY, Taekwondo",Video call,Chit Chatting,"Environment, Chemistry, Health Care, Practical laboratory",Home,Early Morning
Lê Tuấn Anh,Male,MAT,,ESFP,"Baseball, Volleyball",Phone call,Share knowledge,Health Care,"Bookstore, Library",Evening
Phạm Phương Anh,Female,EER,,INTJ,"Netflix, Anime, Taekwondo, Makeup, Bowling",Video call,Chit Chatting,"Artificial Intelligence, Programming","Home, Library",Evening
Lê Văn Chung,Male,AMS,,INFJ,"Skateboarding, Cooking, Study",Video call,Share knowledge,"Health Care, Artificial Intelligence, Physics, Environment","Library, Home, Bookstore",Early Morning
Nguyễn Đức Cường,Male,AMS,,ISFP,"DIY, Skateboarding, Art",Video call,Share knowledge,"Physics, Programming","Home, Library",Midnight
Trương Quốc Đạt,Male,Pharmacy,,ESFP,"EDM, Swimming",Phone call,Chit Chatting,Environment,"Library, Café, Bookstore",Evening
La Quang Hào,Male,CS,,ISTJ,"Painting, Cooking, V-pop",Video call,Chit Chatting,"Programming, Physics, Health Care","Online, Bookstore",Evening
Đỗ Minh Hiếu,Male,CH,,ENFJ,"Bowling, singing",In-person (face-to-face),Share knowledge,"Electronic, Linear Algebra, Artificial Intelligence, Calculus","Café, Home",Night
Nguyễn Văn Huân,Male,AMS,,ESTJ,Food tour,Text message,Chit Chatting,"Practical laboratory, Programming","Library, Bookstore",Midday
Đàm Quang Khánh,Male,ICT,,INTJ,"Art, Football",Video call,Chit Chatting,"Artificial Intelligence, Programming, Chemistry, Biology, Linear Algebra","Library, Home",Early Morning
Nguyễn Hữu Nam Khoa,Male,MAT,,ISFJ,"singing, Study, Skiing",Phone call,Study supporter,"Linear Algebra, Practical laboratory, Calculus, Health Care","Library, Bookstore, Café",Early Morning
Nguyễn Phúc Lâm,Male,ATE,,ESFJ,"Alcoholic, V-pop",In-person (face-to-face),Study supporter,"Practical laboratory, Electronic, Environment, Physics, Health Care","Online, Bookstore",Night
Nguyễn Tùng Lâm,Male,Pharmacy,,ESFJ,"Table tennis, Jogging, Rap, Skiing, Study",Text message,Chit Chatting,"Artificial Intelligence, Programming","Café, Library",Night
Nguyễn Tuấn Minh,Male,DS,,ENFP,"Dancing, DIY, Badminton, Food tour, Investment",In-person (face-to-face),Share knowledge,"Chemistry, Physics","Bookstore, Café",Early Morning
Nguyễn Duy Minh Quang,Male,SIC,,ENTP,Table tennis,In-person (face-to-face),Study supporter,"Electronic, Calculus, Programming","Library, Home",Night
Ngô Đức Thái Quân,Male,MST,,ENTJ,"Baseball, Coffee, Tea, Anime, Yoga, Korean food",Phone call,Study supporter,Practical laboratory,"Home, Café",Evening
Nguyễn Đức Thành,Male,BIT,,ENFJ,"Korean food, Taekwondo, Table tennis, Skiing",Video call,Chit Chatting,"Environment, Practical laboratory, Artificial Intelligence, Programming","Home, Café",Evening
Nguyễn Cao Mạnh Thắng,Male,DS,,INFJ,"Cooking, Politics",Text message,Share knowledge,"Environment, Programming, Physics, Linear Algebra, Biology","Café, Bookstore",Evening
Nguyễn Hồng Bảo Thiện,Male,FST,,ESFP,"Basketball, Coffee, Tea, Anime",Text message,Share knowledge,Chemistry,"Home, Bookstore",Midnight
Cao Văn Tùng,Male,CH,,ESFJ,"Board games, Study, Swimming, singing, Volleyball",Text message,Chit Chatting,"Linear Algebra, Environment",Café,Overnight
Đông Anh Vinh,Male,EER,,INFJ,"Bowling, Karate, Vlogging, V-pop, Badminton",Video call,Study supporter,"Programming, Physics, Health Care","Home, Online",Night
Lê Như Ý,Male,AMS,,ISFP,"Makeup, Netflix",Text message,Chit Chatting,"Electronic, Calculus","Café, Home, Bookstore",Overnight
Đặng Bình An,Male,AMS,,INTP,"Vlogging, Taekwondo",Text message,Share knowledge,"Environment, Artificial Intelligence, Programming, Calculus","Bookstore, Library",Overnight
Nguyễn Mạnh Khánh An,Male,AMS,,ISFP,"Anime, Volleyball",Text message,Chit Chatting,"Calculus, Linear Algebra, Electronic, Programming","Library, Online, Café",Midnight
Nguyễn Phạm Trường An,Male,BIT,,ISTJ,"Table tennis, Ballet",Text message,Chit Chatting,Environment,"Café, Library, Home",Midnight
Phạm Hoàng An,Male,AES,,ISTJ,"Painting, Yoga, Vlogging, Food tour",In-person (face-to-face),Chit Chatting,Artificial Intelligence,"Café, Home, Library",Midday
Trần Lê Hoàng An,Male,ATE,,ESTJ,Investment,Text message,Chit Chatting,Chemistry,Library,Early Morning
Dương Đức Anh,Male,SST,,ENTJ,"Football, Table tennis, Painting, K-pop",Video call,Chit Chatting,"Artificial Intelligence, Biology, Environment","Bookstore, Online, Home",Night
Đỗ Hùng Anh,Male,SIC,,ENTJ,"Anime, Hiphop, Table tennis, Study, Coffee, Tea",Text message,Chit Chatting,"Practical laboratory, Calculus, Electronic","Home, Café, Online",Early Morning
Đỗ Trần Nam Anh,Male,BIT,,INTJ,Volleyball,Text message,Chit Chatting,Electronic,Library,Early Morning
Đào Duy Anh,Male,DS,,ESFJ,"Gym, Skateboarding",In-person (face-to-face),Share knowledge,"Environment, Programming, Physics, Calculus","Bookstore, Online, Library",Midday
Đinh Việt Anh,Male,MST,,INFP,"Baseball, V-pop, Ballet, Karate",Text message,Chit Chatting,"Environment, Artificial Intelligence, Biology","Library, Home",Evening
Đặng Quang Nam Anh,Male,CS,,INTJ,"Dancing, Makeup, Food tour",In-person (face-to-face),Study supporter,"Health Care, Electronic, Programming","Bookstore, Café",Midnight
Hoàng Hoàng Anh,Male,CS,,INFJ,"Dancing, Study, Art, Travel",Video call,Share knowledge,"Linear Algebra, Electronic, Programming, Practical laboratory, Chemistry","Bookstore, Café",Midnight
Lê Đức Anh,Male,MST,,ENFP,"Karate, EDM",Video call,Study supporter,"Chemistry, Physics, Health Care, Artificial Intelligence, Electronic","Library, Bookstore",Midnight
Lê Đức Anh,Male,AES,,INTP,Jogging,In-person (face-to-face),Study supporter,"Programming, Practical laboratory, Environment, Electronic","Café, Library, Bookstore",Night
